metric,mitigation_1,mitigation_2,delta_m2_minus_m1
eval_accuracy,0.5387878788,0.5278787879,-0.0109090909
eval_macro_f1,0.4867608514,0.4827835298,-0.0039773216
eval_loss,2.1504139900,2.1384925842,-0.0119214058
predict_accuracy,0.5387878788,0.5278787879,-0.0109090909
predict_macro_f1,0.4867608514,0.4827835298,-0.0039773216
train_runtime_sec,23947.4789,22226.2865,-1721.1924
best_acc_step,5800,5400,-400
best_acc_epoch,2.6693520543,2.4852111866,-0.1841408677
best_macro_f1_step,5800,5400,-400
best_macro_f1,0.4867608514,0.4827835298,-0.0039773216
last_eval_accuracy,0.5309090909,0.5184848485,-0.0124242424
last_eval_macro_f1,0.4843701153,0.4715370534,-0.0128330619
