label_id,language,n_samples,n_correct,accuracy
0,assamese,150,132,0.88
1,bengali,150,43,0.2866666666666667
2,bodo,150,79,0.5266666666666666
3,dogri,150,29,0.19333333333333333
4,gujarati,150,116,0.7733333333333333
5,hindi,150,5,0.03333333333333333
6,kannada,150,97,0.6466666666666666
7,kashmiri,150,115,0.7666666666666667
8,konkani,150,0,0.0
9,maithili,150,0,0.0
10,malayalam,150,118,0.7866666666666666
11,manipuri,150,122,0.8133333333333334
12,marathi,150,97,0.6466666666666666
13,nepali,150,104,0.6933333333333334
14,odia,150,46,0.30666666666666664
15,punjabi,150,132,0.88
16,sanskrit,150,115,0.7666666666666667
17,santali,150,33,0.22
18,sindhi,150,5,0.03333333333333333
19,tamil,150,120,0.8
20,telugu,150,127,0.8466666666666667
21,urdu,150,104,0.6933333333333334
