language,baseline_accuracy,improved_accuracy,delta_accuracy,baseline_n_samples,improved_n_samples
sindhi,0.033333,0.5,0.466667,150,150
maithili,0.0,0.446667,0.446667,150,150
santali,0.22,0.526667,0.306667,150,150
konkani,0.0,0.22,0.22,150,150
odia,0.306667,0.38,0.073333,150,150
bengali,0.286667,0.353333,0.066667,150,150
dogri,0.193333,0.26,0.066667,150,150
sanskrit,0.766667,0.82,0.053333,150,150
hindi,0.033333,0.08,0.046667,150,150
gujarati,0.773333,0.806667,0.033333,150,150
assamese,0.88,0.906667,0.026667,150,150
marathi,0.646667,0.653333,0.006667,150,150
telugu,0.846667,0.853333,0.006667,150,150
manipuri,0.813333,0.78,-0.033333,150,150
tamil,0.8,0.76,-0.04,150,150
bodo,0.526667,0.466667,-0.06,150,150
malayalam,0.786667,0.706667,-0.08,150,150
kashmiri,0.766667,0.68,-0.086667,150,150
kannada,0.646667,0.54,-0.106667,150,150
urdu,0.693333,0.58,-0.113333,150,150
punjabi,0.88,0.666667,-0.213333,150,150
nepali,0.693333,0.28,-0.413333,150,150
